REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2020/11/01 00:30:00,5485.36,43.83,TRADE
QLD1,2020/11/01 01:00:00,5381.61,47.06,TRADE
QLD1,2020/11/01 01:30:00,5291.12,44.98,TRADE
QLD1,2020/11/01 02:00:00,5208.59,44.30,TRADE
QLD1,2020/11/01 02:30:00,5150.44,41.92,TRADE
QLD1,2020/11/01 03:00:00,5100.87,41.02,TRADE
QLD1,2020/11/01 03:30:00,5147.47,40.97,TRADE
QLD1,2020/11/01 04:00:00,5129.43,41.05,TRADE
QLD1,2020/11/01 04:30:00,5120.65,41.17,TRADE
QLD1,2020/11/01 05:00:00,5097.96,40.48,TRADE
QLD1,2020/11/01 05:30:00,5055.18,40.21,TRADE
QLD1,2020/11/01 06:00:00,4975.54,37.05,TRADE
QLD1,2020/11/01 06:30:00,4896.92,29.21,TRADE
QLD1,2020/11/01 07:00:00,4852.53,26.69,TRADE
QLD1,2020/11/01 07:30:00,4750.5,25.62,TRADE
QLD1,2020/11/01 08:00:00,4631.28,13.39,TRADE
QLD1,2020/11/01 08:30:00,4565.15,19.71,TRADE
QLD1,2020/11/01 09:00:00,4476.34,9.59,TRADE
QLD1,2020/11/01 09:30:00,4442.16,25.66,TRADE
QLD1,2020/11/01 10:00:00,4409.26,24.50,TRADE
QLD1,2020/11/01 10:30:00,4373.07,11.45,TRADE
QLD1,2020/11/01 11:00:00,4328.5,16.20,TRADE
QLD1,2020/11/01 11:30:00,4367.36,17.68,TRADE
QLD1,2020/11/01 12:00:00,4414.68,7.98,TRADE
QLD1,2020/11/01 12:30:00,4484.29,7.19,TRADE
QLD1,2020/11/01 13:00:00,4582.73,6.20,TRADE
QLD1,2020/11/01 13:30:00,4684.87,22.86,TRADE
QLD1,2020/11/01 14:00:00,4850.71,25.22,TRADE
QLD1,2020/11/01 14:30:00,5099.19,22.68,TRADE
QLD1,2020/11/01 15:00:00,5403.56,26.35,TRADE
QLD1,2020/11/01 15:30:00,5730.01,30.67,TRADE
QLD1,2020/11/01 16:00:00,6108.85,28.77,TRADE
QLD1,2020/11/01 16:30:00,6398.33,30.48,TRADE
QLD1,2020/11/01 17:00:00,6821.55,45.43,TRADE
QLD1,2020/11/01 17:30:00,7027.93,53.75,TRADE
QLD1,2020/11/01 18:00:00,7157.94,79.91,TRADE
QLD1,2020/11/01 18:30:00,7262.72,67.54,TRADE
QLD1,2020/11/01 19:00:00,7409.21,93.76,TRADE
QLD1,2020/11/01 19:30:00,7279.77,65.15,TRADE
QLD1,2020/11/01 20:00:00,7144.75,57.71,TRADE
QLD1,2020/11/01 20:30:00,6937.76,54.13,TRADE
QLD1,2020/11/01 21:00:00,6710.72,54.88,TRADE
QLD1,2020/11/01 21:30:00,6524.2,53.10,TRADE
QLD1,2020/11/01 22:00:00,6343.87,43.18,TRADE
QLD1,2020/11/01 22:30:00,6208.46,44.35,TRADE
QLD1,2020/11/01 23:00:00,6073.63,42.08,TRADE
QLD1,2020/11/01 23:30:00,5850.7,40.42,TRADE
QLD1,2020/11/02 00:00:00,5641.08,39.36,TRADE
QLD1,2020/11/02 00:30:00,5469.87,40.33,TRADE
QLD1,2020/11/02 01:00:00,5351.62,44.74,TRADE
QLD1,2020/11/02 01:30:00,5304.64,43.50,TRADE
QLD1,2020/11/02 02:00:00,5262.26,40.51,TRADE
QLD1,2020/11/02 02:30:00,5224.37,43.31,TRADE
QLD1,2020/11/02 03:00:00,5163.62,41.78,TRADE
QLD1,2020/11/02 03:30:00,5149.57,41.91,TRADE
QLD1,2020/11/02 04:00:00,5168.65,43.46,TRADE
QLD1,2020/11/02 04:30:00,5245.43,45.76,TRADE
QLD1,2020/11/02 05:00:00,5307.01,45.12,TRADE
QLD1,2020/11/02 05:30:00,5465.54,50.14,TRADE
QLD1,2020/11/02 06:00:00,5471.97,48.78,TRADE
QLD1,2020/11/02 06:30:00,5660.24,43.43,TRADE
QLD1,2020/11/02 07:00:00,5819.72,36.61,TRADE
QLD1,2020/11/02 07:30:00,5913.26,28.93,TRADE
QLD1,2020/11/02 08:00:00,5832.71,25.98,TRADE
QLD1,2020/11/02 08:30:00,5687.14,25.71,TRADE
QLD1,2020/11/02 09:00:00,5586.27,20.55,TRADE
QLD1,2020/11/02 09:30:00,5610.63,33.70,TRADE
QLD1,2020/11/02 10:00:00,5648.26,34.87,TRADE
QLD1,2020/11/02 10:30:00,5646.49,34.94,TRADE
QLD1,2020/11/02 11:00:00,5673.84,36.18,TRADE
QLD1,2020/11/02 11:30:00,5678.42,37.58,TRADE
QLD1,2020/11/02 12:00:00,5752.89,37.44,TRADE
QLD1,2020/11/02 12:30:00,5768.87,37.09,TRADE
QLD1,2020/11/02 13:00:00,5818.32,36.92,TRADE
QLD1,2020/11/02 13:30:00,5660.53,28.53,TRADE
QLD1,2020/11/02 14:00:00,5882.68,35.75,TRADE
QLD1,2020/11/02 14:30:00,6205.56,38.80,TRADE
QLD1,2020/11/02 15:00:00,6377.56,37.76,TRADE
QLD1,2020/11/02 15:30:00,6475.35,32.01,TRADE
QLD1,2020/11/02 16:00:00,6739.68,50.34,TRADE
QLD1,2020/11/02 16:30:00,6962.32,43.38,TRADE
